system:index,0_cumulative_cost,10_cumulative_cost,11_cumulative_cost,12_cumulative_cost,13_cumulative_cost,14_cumulative_cost,15_cumulative_cost,16_cumulative_cost,17_cumulative_cost,18_cumulative_cost,19_cumulative_cost,1_cumulative_cost,20_cumulative_cost,21_cumulative_cost,22_cumulative_cost,23_cumulative_cost,24_cumulative_cost,25_cumulative_cost,26_cumulative_cost,27_cumulative_cost,28_cumulative_cost,29_cumulative_cost,2_cumulative_cost,30_cumulative_cost,31_cumulative_cost,32_cumulative_cost,33_cumulative_cost,34_cumulative_cost,35_cumulative_cost,36_cumulative_cost,37_cumulative_cost,38_cumulative_cost,39_cumulative_cost,3_cumulative_cost,40_cumulative_cost,41_cumulative_cost,42_cumulative_cost,43_cumulative_cost,44_cumulative_cost,45_cumulative_cost,46_cumulative_cost,47_cumulative_cost,48_cumulative_cost,49_cumulative_cost,4_cumulative_cost,50_cumulative_cost,51_cumulative_cost,52_cumulative_cost,53_cumulative_cost,54_cumulative_cost,55_cumulative_cost,56_cumulative_cost,57_cumulative_cost,58_cumulative_cost,59_cumulative_cost,5_cumulative_cost,60_cumulative_cost,61_cumulative_cost,62_cumulative_cost,63_cumulative_cost,64_cumulative_cost,65_cumulative_cost,66_cumulative_cost,67_cumulative_cost,68_cumulative_cost,69_cumulative_cost,6_cumulative_cost,70_cumulative_cost,71_cumulative_cost,72_cumulative_cost,73_cumulative_cost,74_cumulative_cost,75_cumulative_cost,76_cumulative_cost,77_cumulative_cost,78_cumulative_cost,79_cumulative_cost,7_cumulative_cost,80_cumulative_cost,81_cumulative_cost,82_cumulative_cost,83_cumulative_cost,8_cumulative_cost,9_cumulative_cost,.geo
403,0.0,,0.0,0.0,14.542523175591608,,91.7617272746329,0.0,14.542523175591608,91.7617272746329,0.0,14.99999999997351,14.542523175591608,43.62756952677482,14.542523175591608,14.542523175591608,20.89222296242849,14.99999999997351,20.89222296242849,14.99999999997351,20.89222296242849,20.89222296242849,50.89223499853972,0.0,14.542523175591608,44.999999999964786,,62.67668092344969,14.99999999997351,0.0,,0.0,,14.542523175591608,14.542523175591608,14.99999999997351,,14.99999999997351,0.0,,,14.99999999997351,14.542523175591608,44.999999999964786,,,20.89222296242849,0.0,49.97726931361171,,14.542523175591608,44.999999999964786,,,62.67665685093646,14.542523175591608,0.0,14.99999999997351,0.0,49.97726931361171,20.89222296242849,14.99999999997351,0.0,20.89222296242849,20.89222296242849,14.542523175591608,79.06231566479492,,14.542523175591608,44.999999999964786,14.99999999997351,,43.62756952677482,14.542523175591608,0.0,0.0,72.71261587795803,120.84677362581613,0.0,,14.542523175591608,0.0,0.0,14.542523175591608,"{""type"":""Point"",""coordinates"":[104.61785555853957,14.18698133767013]}"
404,,,0.0,0.0,137.31900429629664,,79.10907995910972,0.0,14.552481084296733,,14.552481084296733,397.08299199417917,0.0,50.00411779051626,,45.000000000053305,0.0,50.00411779051626,164.49584957196151,0.0,0.0,50.00411779051626,50.89914371111964,14.552481084296733,0.0,14.552481084296733,,,0.0,0.0,,92.69749068671013,0.0,0.0,0.0,20.899155621922798,,14.552481084296733,0.0,,,14.552481084296733,0.0,259.89102150959815,,,0.0,0.0,0.0,,50.00411779051626,0.0,,,50.00411779051626,,0.0,175.3991587164366,104.49573046604226,0.0,0.0,14.552481084296733,105.00000000012437,62.697454954929704,20.899155621922798,50.00411779051626,101.86736759007712,,45.000000000009045,0.0,,,0.0,0.0,20.899155621922798,,0.0,92.69749068671013,14.552481084296733,20.899155621922798,0.0,50.00411779051626,0.0,0.0,"{""type"":""Point"",""coordinates"":[105.4368005796505,14.030891725000526]}"
405,,,14.552412660233806,14.552412660233806,152.6972048112576,,44.999999999920526,44.999999999964786,0.0,62.69731201919535,20.899107976967304,50.89911988843568,0.0,75.00000000000033,,44.999999999920526,80.89908415326302,0.0,,44.999999999920526,50.89911988843568,62.69731201919535,,14.99999999997351,0.0,14.99999999997351,,,62.69733584242327,14.99999999997351,,0.0,43.65723798070142,0.0,20.899107976967304,,,92.69727628383748,0.0,,,50.00393329743491,14.552412660233806,,,,14.552412660233806,0.0,62.69731201919535,254.999999999948,80.89908415326302,75.00000000000033,,,194.99999999992116,50.89909606520776,75.00000000000033,44.999999999920526,179.11663712429373,137.31840925883773,194.49531355639348,91.80210312621358,91.80210312621358,74.99999999991181,0.0,75.00000000000033,104.99999999994735,,14.99999999997351,44.999999999920526,14.552412660233806,,137.31840925883773,0.0,122.69724054786049,,120.9069864833585,20.899107976967304,20.899107976967304,14.99999999997351,14.99999999997351,230.89902459039155,0.0,133.60024913075003,"{""type"":""Point"",""coordinates"":[104.86775495752632,14.031784304738968]}"
406,,,0.0,0.0,80.90044071522496,,79.11758667920691,0.0,0.0,,20.900416940253084,343.5068960088981,0.0,0.0,195.00000000005394,0.0,0.0,62.70123893292315,200.90034561001704,20.900416940253084,0.0,182.7010962741051,0.0,0.0,50.90040505245251,0.0,,,0.0,0.0,,164.50191826849718,,0.0,0.0,,,182.7010962741051,0.0,,,43.662877304215364,0.0,195.00000000005394,,,45.000000000009045,0.0,,91.80978965978444,14.554292434738455,0.0,,,14.554292434738455,0.0,0.0,133.61055373330566,0.0,14.554292434738455,0.0,0.0,14.554292434738455,14.554292434738455,0.0,160.097216782123,200.90034561001704,,108.22617154868382,0.0,108.22617154868382,72.77146217369227,45.000000000009045,0.0,0.0,,45.000000000053305,20.900416940253084,0.0,0.0,14.554292434738455,105.00000000008012,0.0,14.554292434738455,"{""type"":""Point"",""coordinates"":[105.54903614658969,14.00224205456629]}"
407,122.6909050264766,,0.0,0.0,80.89697232571712,0.0,0.0,104.99999999999159,50.89698427602913,,14.549379755604454,15.000000000017767,0.0,0.0,,14.549379755604454,0.0,45.000000000053305,79.09451524851035,0.0,79.09451524851035,15.000000000017767,15.000000000017767,182.6910484254847,14.549379755604454,45.000000000053305,,,20.896996226092536,15.000000000017767,,49.995755737301444,14.549379755604454,0.0,20.896996226092536,,,72.74689877802227,0.0,,,79.09451524851035,,,,134.48487357842825,0.0,0.0,20.896996226092536,,20.896996226092536,92.6909408776688,0.0,,146.2790811304706,101.84565828923118,15.000000000017767,122.6909050264766,43.64813926681336,20.896996226092536,75.00000000004458,134.99999999998286,79.09451524851035,20.896996226092536,0.0,75.00000000008885,43.64813926681336,,49.995755737301444,0.0,15.000000000017767,,20.896996226092536,49.995755737301444,45.000000000053305,0.0,62.6910006281597,49.995755737301444,49.995755737301444,122.6909050264766,72.74689877802227,79.09451524851035,45.000000000053305,75.00000000008885,"{""type"":""Point"",""coordinates"":[104.63166712240839,14.079728192538933]}"
408,,,0.0,20.89254786198534,75.00000000000033,,0.0,,246.20508296814884,,0.0,14.542989932133722,0.0,127.6561953728596,,79.06450759052022,14.542989932133722,43.628969796401165,,0.0,0.0,14.542989932133722,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,20.89254786198534,,,49.97852772625278,20.89254786198534,,,,0.0,0.0,,,14.542989932133722,105.00000000003587,,,0.0,0.0,170.89260801133224,79.06450759052022,14.542989932133722,0.0,135.0000000000714,120.84961534480742,,14.542989932133722,332.6773067066391,291.67710757718083,0.0,,74.99999999991181,165.00000000006267,49.97852772625278,,20.89254786198534,14.542989932133722,230.89246364385414,,92.67759546371292,0.0,344.4628836637676,49.97852772625278,0.0,0.0,0.0,0.0,"{""type"":""Point"",""coordinates"":[104.71066270383854,14.17967170131557]}"
409,0.0,,50.009738178822126,80.90063088396015,62.701833231682215,,14.554565531488409,14.554565531488409,104.5030831155629,,15.000000000017767,271.70746465684357,0.0,62.70180946317257,248.10567795219282,208.2472941164978,14.554565531488409,14.554565531488409,,14.554565531488409,0.0,146.30435676705324,152.70186888274833,233.63174995598368,50.009738178822126,43.66369659446523,,,43.66369659446523,14.554565531488409,,62.701833231682215,43.66369659446523,20.900607115845308,0.0,,,140.90065465109325,0.0,,,43.66369659446523,133.61205083926538,,,246.3239163117363,122.70185699927444,14.554565531488409,266.4654879778279,91.81096429465903,,20.900607115845308,,,43.66369659446523,72.77282765744205,14.554565531488409,166.4462624307294,14.554565531488409,120.92000332450266,0.0,50.009738178822126,266.46552211013966,20.900607115845308,50.900619000027135,266.30381007144814,43.66369659446523,,14.554565531488409,0.0,14.554565531488409,,75.00000000008885,45.000000000053305,14.554565531488409,,0.0,0.0,14.554565531488409,50.009738178822126,,50.009738178822126,14.554565531488409,14.554565531488409,"{""type"":""Point"",""coordinates"":[104.6694977987183,13.997876510225474]}"
410,0.0,,0.0,0.0,108.13356828649216,,14.99999999997351,0.0,20.890789116805436,,14.540463194947787,92.67231910177762,0.0,0.0,43.62138958484336,49.97171550670101,14.540463194947787,0.0,0.0,43.62138958484336,43.62138958484336,14.99999999997351,14.540463194947787,14.99999999997351,43.62138958484336,14.540463194947787,,,44.999999999964786,14.540463194947787,,105.00000000003587,0.0,0.0,0.0,,,20.890789116805436,20.890789116805436,,,62.67237941231596,14.99999999997351,0.0,,,14.540463194947787,14.540463194947787,49.97171550670101,,14.540463194947787,20.890789116805436,,,14.99999999997351,14.540463194947787,0.0,14.540463194947787,14.99999999997351,14.99999999997351,0.0,14.540463194947787,20.890789116805436,49.97171550670101,0.0,20.890789116805436,20.890789116805436,105.00000000003587,44.999999999920526,20.890789116805436,0.0,,49.97171550670101,0.0,20.890789116805436,0.0,0.0,14.99999999997351,20.890789116805436,,0.0,14.99999999997351,0.0,80.890764992371,"{""type"":""Point"",""coordinates"":[104.45925519536907,14.218873424497996]}"
411,0.0,,15.000000000017767,0.0,278.04960575641417,,0.0,15.000000000017767,43.637201555077304,,20.894457956233374,14.545733851692434,0.0,0.0,,14.545733851692434,0.0,368.0503855027844,,43.637201555077304,14.545733851692434,224.53473187992745,15.000000000017767,0.0,15.000000000017767,0.0,,,110.89442196740532,0.0,,236.2608458004604,0.0,14.545733851692434,14.545733851692434,0.0,,79.07739336300311,0.0,0.0,,14.545733851692434,14.545733851692434,,,,0.0,0.0,170.89451793308024,284.4718818936397,0.0,0.0,218.0498216981389,,308.04949778258214,101.82013696184704,0.0,0.0,20.894457956233374,43.637201555077304,0.0,0.0,,50.894469952106974,14.545733851692434,0.0,0.0,,72.72866925846218,14.545733851692434,0.0,,176.26101375363217,0.0,15.000000000017767,20.894457956233374,20.894457956233374,189.09454007200165,14.545733851692434,49.985925659618246,,133.56380546768727,0.0,15.000000000017767,"{""type"":""Point"",""coordinates"":[104.61728848720402,14.136725653592654]}"
412,0.0,,0.0,15.000000000017767,0.0,,0.0,15.000000000017767,0.0,,0.0,0.0,0.0,20.900820997268845,279.16212001858725,,14.554872667232138,,104.50415250698876,0.0,104.50415250698876,50.90083287751184,20.900820997268845,,0.0,271.7111006410096,,,0.0,0.0,,50.010566331733116,14.554872667232138,0.0,50.90080911684809,,,20.900820997268845,0.0,,,0.0,,,,,0.0,0.0,0.0,308.2717971109681,0.0,104.99999999994733,,,0.0,14.554872667232138,189.21334467401778,79.1203116661974,259.0183086763685,0.0,91.81222020647827,715.8072764043002,62.70245111135024,43.66461800169641,0.0,428.4372556797686,20.900820997268845,,91.81216232509482,,0.0,,0.0,0.0,15.000000000017767,,0.0,0.0,104.99999999994733,137.33980233512594,182.70252239079713,14.554872667232138,0.0,,"{""type"":""Point"",""coordinates"":[104.7732277024472,13.993190873579435]}"
413,14.556117203739833,,79.12615649920014,14.556117203739833,134.9999999999829,,50.013922091720474,0.0,179.1538525232126,,20.901687684240805,,0.0,14.556117203739833,179.15401254700095,108.2383909066798,15.000000000017767,108.2383909066798,134.9999999999829,50.013922091720474,0.0,15.000000000017767,0.0,,15.000000000017767,0.0,,,14.556117203739833,0.0,,194.50821298757006,15.000000000017767,14.556117203739833,0.0,15.000000000017767,,182.7049088080791,0.0,,,50.013922091720474,0.0,62.70505118811367,,,43.6683516112195,0.0,20.901687684240805,50.9016995486362,0.0,0.0,,,43.6683516112195,15.000000000017767,0.0,108.2383909066798,20.901687684240805,50.013922091720474,0.0,0.0,,14.556117203739833,14.556117203739833,166.46285972163912,242.70514609882025,,15.000000000017767,,14.556117203739833,,50.013922091720474,0.0,212.7048732114092,,195.57509412911878,0.0,0.0,0.0,108.2383909066798,20.901687684240805,0.0,0.0,"{""type"":""Point"",""coordinates"":[105.09728774983374,13.973333784283161]}"
414,0.0,,0.0,14.541606267721395,43.62481880316419,,0.0,80.8916088324975,92.67477830754929,,45.000000000053305,0.0,0.0,0.0,0.0,0.0,108.14122234387202,20.89158473754366,45.000000000053305,0.0,101.79124387404977,79.05800980842923,0.0,15.000000000017767,0.0,49.97479727298645,,,45.000000000053305,0.0,,105.00000000008012,14.541606267721395,49.97479727298645,0.0,20.89158473754366,,50.89157268975286,0.0,14.541606267721395,,15.000000000017767,134.45798392500114,0.0,,,45.000000000053305,0.0,0.0,,14.541606267721395,79.05800980842923,62.674766260209,,0.0,0.0,49.97479727298645,220.79044869403555,15.000000000017767,43.62481880316419,0.0,0.0,91.75792008257764,14.541606267721395,0.0,108.14122234387202,20.89158473754366,,0.0,62.674766260209,79.05800980842923,,80.89156064174551,92.67477830754929,49.97479727298645,72.70803133860699,50.89157268975286,0.0,104.45797187784564,104.45797187784564,,0.0,14.541606267721395,50.89159678515722,"{""type"":""Point"",""coordinates"":[104.59761155637096,14.201114657883501]}"
415,14.557087772381587,,14.557087772381587,0.0,0.0,,14.557087772381587,0.0,14.557087772381587,,0.0,,0.0,14.557087772381587,44.999999999920526,62.707102676803196,14.557087772381587,0.0,,0.0,14.557087772381587,14.557087772381587,20.902363608262746,14.557087772381587,14.557087772381587,14.557087772381587,,,0.0,0.0,,14.557087772381587,0.0,0.0,0.0,0.0,,50.902351756009416,14.557087772381587,,,20.902363608262746,0.0,,,,0.0,0.0,0.0,50.90237546022472,14.557087772381587,50.90237546022472,,,14.99999999997351,14.557087772381587,62.707102676803196,0.0,0.0,0.0,14.557087772381587,0.0,62.707102676803196,14.557087772381587,0.0,,14.99999999997351,,0.0,0.0,0.0,,14.557087772381587,20.902363608262746,0.0,,0.0,0.0,14.99999999997351,14.557087772381587,92.70711452857978,50.01653915302592,0.0,0.0,"{""type"":""Point"",""coordinates"":[105.53610732162234,13.957970148386973]}"
416,0.0,,92.69176527566299,0.0,91.79131566332168,14.549774432340586,20.897271018784362,0.0,162.68550060264508,,14.549774432340586,176.2810165786154,0.0,0.0,194.48643870594393,162.68526779086594,0.0,14.549774432340586,149.9903447674815,137.29546647750905,0.0,20.897271018784362,,,162.68526779086594,20.897271018784362,,,0.0,49.996819883465534,,194.48643870594393,108.19591761282787,43.64932329702176,14.549774432340586,137.29546647750905,,50.897282963714346,0.0,,,72.74887216170293,0.0,218.07564222824485,,,91.79131566332168,0.0,,79.0963687481467,20.897271018784362,0.0,,,110.8972351826659,0.0,0.0,130.94796989106527,160.04751875574644,140.89722323682602,0.0,14.549774432340586,80.89729490842747,50.89725907370858,79.0963687481467,,108.19591761282787,,49.996819883465534,0.0,0.0,,133.58578755203104,14.549774432340586,75.00000000008885,0.0,79.0963687481467,,14.549774432340586,15.000000000017767,14.549774432340586,14.549774432340586,0.0,194.48643870594393,"{""type"":""Point"",""coordinates"":[105.38967701515348,14.073511124123177]}"
