system:index,0_cumulative_cost,10_cumulative_cost,11_cumulative_cost,12_cumulative_cost,13_cumulative_cost,14_cumulative_cost,15_cumulative_cost,16_cumulative_cost,17_cumulative_cost,18_cumulative_cost,19_cumulative_cost,1_cumulative_cost,20_cumulative_cost,21_cumulative_cost,22_cumulative_cost,23_cumulative_cost,24_cumulative_cost,25_cumulative_cost,26_cumulative_cost,27_cumulative_cost,28_cumulative_cost,29_cumulative_cost,2_cumulative_cost,30_cumulative_cost,31_cumulative_cost,32_cumulative_cost,33_cumulative_cost,34_cumulative_cost,35_cumulative_cost,36_cumulative_cost,37_cumulative_cost,38_cumulative_cost,39_cumulative_cost,3_cumulative_cost,40_cumulative_cost,41_cumulative_cost,42_cumulative_cost,43_cumulative_cost,44_cumulative_cost,45_cumulative_cost,46_cumulative_cost,47_cumulative_cost,48_cumulative_cost,49_cumulative_cost,4_cumulative_cost,50_cumulative_cost,51_cumulative_cost,52_cumulative_cost,53_cumulative_cost,54_cumulative_cost,55_cumulative_cost,56_cumulative_cost,57_cumulative_cost,58_cumulative_cost,59_cumulative_cost,5_cumulative_cost,60_cumulative_cost,61_cumulative_cost,62_cumulative_cost,63_cumulative_cost,64_cumulative_cost,65_cumulative_cost,66_cumulative_cost,67_cumulative_cost,68_cumulative_cost,69_cumulative_cost,6_cumulative_cost,70_cumulative_cost,71_cumulative_cost,72_cumulative_cost,73_cumulative_cost,74_cumulative_cost,75_cumulative_cost,76_cumulative_cost,77_cumulative_cost,78_cumulative_cost,79_cumulative_cost,7_cumulative_cost,80_cumulative_cost,81_cumulative_cost,82_cumulative_cost,83_cumulative_cost,8_cumulative_cost,9_cumulative_cost,Wildlife Sanctuary,Year
14,14.55931441,0,0,20.90391437,20.90391437,,15,75,0,0,14.55931441,20.90391437,0,62.71175494,179.1861108,0,14.55931441,0,62.71173129,0,20.90391437,50.90390255,62.71173129,359.1057365,0,,,,14.55931441,15,,133.638248,0,0,50.9039262,,,14.55931441,20.90391437,,43.67794323,0,45,0,,146.327507,0,15,,91.83038376,14.55931441,14.55931441,15,,0,0,15,20.90391437,50.90390255,43.67794323,91.83038376,20.90391437,14.55931441,,0,50.90390255,0,,14.55931441,43.67794323,14.55931441,72.79657205,0,43.67794323,237.4235279,20.90391437,0,0,262.8020223,20.90391437,,80.90393802,0,50.90390255,KPWS,2004
15,14.55931441,0,0,20.90391437,20.90391437,,15,75,0,0,14.55931441,20.90391437,0,62.71175494,179.1861108,0,14.55931441,0,62.71173129,0,20.90391437,50.90390255,62.71173129,359.1057365,0,,,,14.55931441,15,,133.638248,0,0,50.9039262,,,14.55931441,20.90391437,,43.67794323,0,45,0,,146.327507,0,15,,91.83038376,14.55931441,14.55931441,15,,0,0,15,20.90391437,50.90390255,43.67794323,91.83038376,20.90391437,14.55931441,,0,50.90390255,0,,14.55931441,43.67794323,14.55931441,72.79657205,0,43.67794323,237.4235279,20.90391437,0,0,262.8020223,20.90391437,,80.90393802,0,50.90390255,KPWS,2004
16,0,43.67865613,0,0,20.90407988,,0,15,20.90407988,0,0,92.71219237,0,20.90407988,,20.90407988,0,0,91.83129797,0,15,14.55955204,0,0,0,14.55955204,,,0,15,,160.1550725,79.14228806,0,14.55955204,0,,75,50.02318397,0,50.02318397,14.55955204,0,0,,80.90405624,14.55955204,15,,,0,14.55955204,20.90407988,,0,43.67865613,0,0,50.9040917,14.55955204,331.7523056,14.55955204,0,0,15,15,91.83129797,,0,110.9041153,50.02318397,189.2741766,20.90407988,353.9032924,453.9496958,0,43.67865613,0,20.90407988,45,236.328701,0,0,15,KPWS,2004
17,0,43.67865613,0,0,20.90407988,,0,15,20.90407988,0,0,92.71219237,0,20.90407988,,20.90407988,0,0,91.83129797,0,15,14.55955204,0,0,0,14.55955204,,,0,15,,160.1550725,79.14228806,0,14.55955204,0,,75,50.02318397,0,50.02318397,14.55955204,0,0,,80.90405624,14.55955204,15,,,0,14.55955204,20.90407988,,0,43.67865613,0,0,50.9040917,14.55955204,331.7523056,14.55955204,0,0,15,15,91.83129797,,0,110.9041153,50.02318397,189.2741766,20.90407988,353.9032924,453.9496958,0,43.67865613,0,20.90407988,45,236.328701,0,0,15,KPWS,2004
18,62.71105722,,14.55899181,80.90366603,14.55899181,,0,20.90368968,0,,0,43.67697542,14.55899181,0,0,0,15,,14.55899181,15,20.90368968,14.55899181,104.5184957,0,0,62.71105722,,50.90370151,0,50.02167329,,0,,0,0,,,0,75,,,20.90368968,0,0,,,0,15,43.67697542,,0,108.2576405,,,0,20.90368968,15,45,282.9655422,14.55899181,79.13965691,50.02167329,14.55899181,20.90368968,0,14.55899181,14.55899181,14.55899181,0,62.71108088,14.55899181,92.71109271,0,50.90367786,20.90368968,20.90368968,45,14.55899181,92.71102174,,191.8721481,0,50.02167329,91.82900687,KPWS,2004
19,,,0,0,72.77820025,,0,0,0,,0,15,0,14.55564005,43.66692015,15,,15,,0,0,15,50.01263549,320.9014741,15,14.55564005,,,14.55564005,0,,45,0,0,0,,,15,0,,,0,0,50.01263549,,,0,14.55564005,120.9265463,50.90136726,0,0,,,0,14.55564005,0,15,20.90135539,0,0,14.55564005,0,0,0,20.90135539,0,,0,0,0,15,14.55564005,0,20.90135539,,14.55564005,0,14.55564005,79.12391559,43.66692015,0,0,,KPWS,2005
0000000000000000001a,,,14.55509442,15,15,,15,162.7250708,20.90097542,,14.55509442,14.55509442,0,,,43.66528327,15,50.9009873,146.3069349,20.90097542,0,0,,,0,92.70295002,,,20.90097542,14.55509442,,,170.900916,0,0,,,50.9009873,0,,,0,,92.70287876,,,0,15,45,,20.90097542,15,,,50.01116427,0,15,75,14.55509442,20.90097542,388.1521895,179.1435333,0,20.90097542,0,,72.77547211,,43.66528327,0,,,20.90097542,15,426.2296839,,220.9453121,20.90097542,20.90097542,,164.5049484,0,15,,KPWS,2005
0000000000000000001b,,,14.55848219,45,45,,15,50.90334659,0,,0,0,45,50.90334659,92.71002792,20.90333475,45,0,105,15,45,45,,,0,45,,,0,15,,75,0,0,15,,,0,15,,,0,0,,,,15,45,50.02029914,135,14.55848219,45,,,0,15,45,92.71002792,14.55848219,15,50.90334659,75,20.90333475,20.90333475,45,45,0,,50.90334659,45,,,15,166.4881567,101.9093753,,62.71001609,0,80.90335842,225,,14.55848219,45,,KPWS,2005
0000000000000000001c,,,0,20.90089228,206.3063766,,0,43.66492507,15,,0,14.55497502,50.90090415,0,15,92.70270058,15,45,0,0,50.9008804,20.90089228,,,0,0,,,14.55497502,0,,62.70268871,0,0,14.55497502,,,14.55497502,20.90089228,,,20.90089228,0,0,,,20.90089228,0,50.9008804,0,0,50.90090415,,,14.55497502,164.5042951,133.6142957,50.01084232,20.90089228,0,72.77487511,308.1074127,75,0,14.55497502,0,20.90089228,,0,0,,,92.70262931,45,108.2307424,,43.66492507,0,92.70270058,176.3060559,20.90089228,133.6144589,0,0,KPWS,2005
0000000000000000001d,,14.56305827,0,146.3457607,62.71957807,0,0,15,0,,14.56305827,0,45,15,,45,62.71957807,104.5326576,20.9065221,14.56305827,15,14.56305827,0,,0,50.90653387,79.15875518,,14.56305827,0,,50.03263864,0,0,0,0,,0,20.9065221,,,20.9065221,0,,,,14.56305827,14.56305827,0,20.9065221,14.56305827,50.03263864,,0,14.56305827,50.03263864,20.9065221,62.71957807,43.68917481,15,14.56305827,230.9064397,,14.56305827,135,79.15875518,15,,15,62.71955452,50.90651032,,14.56305827,14.56305827,229.9714487,,15,0,179.2240442,229.9714487,75,20.9065221,15,0,KPWS,2005
